year,round,place,heat,athlete,country,time,notes
2011,3,2,1,Allyson Felix, United States (USA),49.59,PB
2011,3,3,1,Francena McCorory, United States (USA),50.45,
2011,3,4,1,Antonina Krivoshapka, Russia (RUS),50.66,
2011,3,5,1,Shericka Williams, Jamaica (JAM),50.79,
2011,3,6,1,Sanya Richards-Ross, United States (USA),51.32,
2011,3,7,1,Novlene Williams-Mills, Jamaica (JAM),52.89,
2013,1,1,2,Christine Ohuruogu, Great Britain & N.I. (GBR),50.20,Q
2013,1,2,3,Francena McCorory, United States (USA),50.56,Q
2013,1,3,2,Natasha Hastings, United States (USA),50.64,Q
2013,1,4,4,Kseniya Ryzhova, Russia (RUS),50.69,Q
2013,1,5,5,Amantle Montsho, Botswana (BOT),50.75,Q
2013,1,6,4,Novlene Williams-Mills, Jamaica (JAM),50.83,Q
2013,1,7,3,Stephanie McPherson, Jamaica (JAM),50.98,Q
2013,1,8,5,Regina George, Nigeria (NGR),51.01,Q
2013,1,9,4,Nataliya Pyhyda, Ukraine (UKR),51.17,"Q, SB"
2013,1,10,1,Antonina Krivoshapka, Russia (RUS),51.27,Q
2013,1,11,3,Libania Grenot, Italy (ITA),51.43,"Q, SB"
2013,1,12,1,Ashley Spencer, United States (USA),51.48,Q
2013,1,13,4,Bianca Răzor, Romania (ROM),51.51,"Q, PB"
2013,1,14,1,Kineke Alexander, Saint Vincent and the Grenadines (VIN),51.62,"Q, SB"
2013,1,15,3,Floria Guei, France (FRA),51.75,Q
2013,1,16,2,Marie Gayot, France (FRA),51.83,Q
2013,1,17,1,Omolara Omotoso, Nigeria (NGR),51.98,Q
2013,1,18,4,Tjipekapora Herunga, Namibia (NAM),52.01,"q, SB"
2013,1,19,4,Chiara Bazzoni, Italy (ITA),52.14,q
2013,1,20,4,Esther Cremer, Germany (GER),52.17,q
2013,1,21,5,Patricia Hall, Jamaica (JAM),52.20,Q
2013,1,22,2,Amy Mbacké Thiam, Senegal (SEN),52.24,Q
2013,1,23,1,Agne Šerkšnienė, Lithuania (LTU),52.28,"q, PB"
2013,1,24,2,Moa Hjelmer, Sweden (SWE),52.39,
2013,1,25,5,Aauri Bokesa, Spain (ESP),52.44,Q
2013,1,26,1,Olesea Cojuhari, Moldova (MDA),52.45,
2013,1,27,5,Jennifer Carey, Ireland (IRL),52.62,
2013,1,28,5,Caitlin Sargent, Australia (AUS),52.63,
2013,1,29,2,Joelma Sousa, Brazil (BRA),53.01,
2013,1,30,3,Alicia Brown, Canada (CAN),53.26,
2013,1,31,1,Kadecia Baird, Guyana (GUY),53.73,
2013,1,32,3,Zhao Yanmin, China (CHN),54.03,
2013,1,33,2,Gretta Taslakian, Lebanon (LIB),54.56,
2013,1,34,3,Sade Sealy, Barbados (BAR),55.45,
2013,1,35,2,Phumlile Ndzinisa, Swaziland (SWZ),56.36,
2013,1,,5,Maureen Jelagat Maiyo, Kenya (KEN),DQ,163.3[9
2013,2,1,1,Amantle Montsho, Botswana (BOT),49.56,Q
2013,2,2,2,Christine Ohuruogu, Great Britain & N.I. (GBR),49.75,"Q, SB"
2013,2,3,3,Francena McCorory, United States (USA),49.86,"Q, PB"
2013,2,4,2,Natasha Hastings, United States (USA),49.94,"Q, SB"
2013,2,5,3,Antonina Krivoshapka, Russia (RUS),49.99,Q
2013,2,5,3,Stephanie McPherson, Jamaica (JAM),49.99,q
2013,2,7,2,Novlene Williams-Mills, Jamaica (JAM),50.34,q
2013,2,8,2,Libania Grenot, Italy (ITA),50.47,SB
2013,2,9,1,Kseniya Ryzhova, Russia (RUS),50.48,Q
2013,2,10,1,Regina George, Nigeria (NGR),50.84,PB
2013,2,11,3,Nataliya Pyhyda, Ukraine (UKR),51.02,PB
2013,2,12,2,Floria Guei, France (FRA),51.42,PB
2013,2,13,1,Bianca Răzor, Romania (ROM),51.49,PB
2013,2,14,3,Marie Gayot, France (FRA),51.54,PB
2013,2,15,2,Kineke Alexander, Saint Vincent and the Grenadines (VIN),51.64,
2013,2,16,1,Ashley Spencer, United States (USA),51.80,
2013,2,17,3,Aauri Bokesa, Spain (ESP),51.94,
2013,2,18,1,Chiara Bazzoni, Italy (ITA),52.11,
2013,2,19,1,Tjipekapora Herunga, Namibia (NAM),52.28,
2013,2,20,2,Amy Mbacké Thiam, Senegal (SEN),52.37,
2013,2,21,3,Omolara Omotoso, Nigeria (NGR),52.38,
2013,2,22,3,Esther Cremer, Germany (GER),52.42,
2013,2,23,2,Agne Šerkšnienė, Lithuania (LTU),52.48,
2013,2,24,1,Patricia Hall, Jamaica (JAM),52.62,
2013,3,1,1,Christine Ohuruogu, Great Britain & N.I. (GBR),49.41,NR
2013,3,2,1,Amantle Montsho, Botswana (BOT),49.41,
2013,3,3,1,Stephanie McPherson, Jamaica (JAM),49.99,
2013,3,4,1,Natasha Hastings, United States (USA),50.30,
2013,3,5,1,Francena McCorory, United States (USA),50.68,
2013,3,6,1,Kseniya Ryzhova, Russia (RUS),50.98,
2013,3,7,1,Novlene Williams-Mills, Jamaica (JAM),51.49,
2013,3,DQ,1,Antonina Krivoshapka, Russia (RUS),49.78,
